anio,semana,dia,contaminante,max,avg
2015,11,6,dioxido_de_nitrogeno,19,10.5916666666666667
2015,11,3,dioxido_de_nitrogeno,19,12.0083333333333333
2016,11,6,dioxido_de_nitrogeno,26,12.9083333333333333
2015,11,4,dioxido_de_nitrogeno,20,10.3000000000000000
2014,11,4,dioxido_de_nitrogeno,31,15.7416666666666667
2014,11,2,dioxido_de_nitrogeno,20,10.0166666666666667
2016,11,0,dioxido_de_nitrogeno,22,13.9666666666666667
2014,11,1,dioxido_de_nitrogeno,18,9.2750000000000000
2014,11,6,dioxido_de_nitrogeno,47,17.6750000000000000
2013,11,2,dioxido_de_nitrogeno,31,13.2000000000000000
2015,11,1,dioxido_de_nitrogeno,30,15.2750000000000000
2015,11,2,dioxido_de_nitrogeno,25,11.7833333333333333
2014,11,5,dioxido_de_nitrogeno,38,19.2166666666666667
2014,11,3,dioxido_de_nitrogeno,40,16.0750000000000000
2015,11,0,dioxido_de_nitrogeno,19,11.0916666666666667
2016,11,1,dioxido_de_nitrogeno,48,24.2166666666666667
2016,11,3,dioxido_de_nitrogeno,50,22.0833333333333333
2013,11,5,dioxido_de_nitrogeno,45,20.8500000000000000
2013,11,4,dioxido_de_nitrogeno,29,17.1250000000000000
2014,11,2,monoxido_de_carbono,15,7.5750000000000000
2014,11,5,monoxido_de_carbono,15,9.2083333333333333
2015,11,3,monoxido_de_carbono,10,6.0666666666666667
2015,11,6,monoxido_de_carbono,11,6.5083333333333333
2015,11,2,monoxido_de_carbono,11,6.4083333333333333
2016,11,4,monoxido_de_carbono,15,6.6666666666666667
2013,11,3,monoxido_de_carbono,16,8.4833333333333333
2013,11,2,monoxido_de_carbono,25,9.4750000000000000
2016,11,6,monoxido_de_carbono,15,6.4666666666666667
2016,11,1,monoxido_de_carbono,19,10.6500000000000000
2013,11,0,monoxido_de_carbono,19,8.6250000000000000
2015,11,5,monoxido_de_carbono,15,7.1166666666666667
2014,11,4,monoxido_de_carbono,14,7.4000000000000000
2016,11,5,monoxido_de_carbono,16,7.7583333333333333
2013,11,5,monoxido_de_carbono,18,10.1333333333333333
2015,11,4,monoxido_de_carbono,12,6.0416666666666667
2014,11,0,monoxido_de_carbono,13,6.6583333333333333
2013,11,4,monoxido_de_carbono,11,7.1000000000000000
2014,11,3,monoxido_de_carbono,20,10.4000000000000000
2014,11,6,monoxido_de_carbono,24,10.6916666666666667
2016,11,2,monoxido_de_carbono,19,9.9833333333333333
2013,11,1,monoxido_de_carbono,18,9.1500000000000000
2016,11,3,monoxido_de_carbono,19,10.1250000000000000
2016,11,0,monoxido_de_carbono,8,5.5916666666666667
2015,11,0,monoxido_de_carbono,12,7.0833333333333333
2014,11,1,monoxido_de_carbono,15,7.3833333333333333
2015,11,1,monoxido_de_carbono,18,8.0250000000000000
2013,11,6,monoxido_de_carbono,16,8.0166666666666667
2015,11,3,ozono,38,18.1166666666666667
2013,11,0,ozono,66,30.4416666666666667
2013,11,5,ozono,49,19.0166666666666667
2014,11,5,ozono,129,44.0166666666666667
2013,11,1,ozono,56,20.4250000000000000
2014,11,4,ozono,119,40.2500000000000000
2015,11,5,ozono,31,18.2833333333333333
2014,11,2,ozono,60,21.1666666666666667
2016,11,2,ozono,152,53.8666666666666667
2013,11,3,ozono,76,27.3500000000000000
2016,11,0,ozono,76,24.1000000000000000
2016,11,4,ozono,136,46.9500000000000000
2015,11,0,ozono,23,9.8166666666666667
2013,11,6,ozono,35,20.1500000000000000
