dia_semana,cuarto,parte_dia,contaminante,max,min,avg,stddev
3,1,0,dioxido_de_azufre,97,1,12.0431718061674009,11.4180186733338824
3,1,1,dioxido_de_azufre,91,1,11.9083700440528634,11.0139590155529442
3,1,2,dioxido_de_azufre,77,1,11.8264317180616740,10.6556162605011527
3,1,3,dioxido_de_azufre,67,1,11.7814977973568282,10.4291432774057007
3,1,4,dioxido_de_azufre,66,1,11.7735682819383260,10.3365248121718293
3,1,5,dioxido_de_azufre,67,1,11.7559471365638767,10.2444288364042945
3,1,6,dioxido_de_azufre,68,1,11.7400881057268722,10.2470508507870212
3,1,7,dioxido_de_azufre,75,1,14.2026315789473684,11.0801018345818119
3,1,8,dioxido_de_azufre,75,1,14.2243421052631579,11.1169644617012670
3,1,9,dioxido_de_azufre,75,1,14.2572368421052632,11.2026171468074342
3,1,10,dioxido_de_azufre,75,1,14.3105263157894737,11.3370015756416373
3,1,11,dioxido_de_azufre,85,1,14.4375000000000000,11.7272621871793508
3,1,12,dioxido_de_azufre,80,1,14.4296052631578947,11.5988600085439344
3,1,13,dioxido_de_azufre,81,1,14.4296052631578947,11.6149114098796919
3,1,14,dioxido_de_azufre,82,1,14.4230263157894737,11.6569631005993271
3,1,15,dioxido_de_azufre,85,1,14.4447368421052632,11.8296933364168324
3,1,16,dioxido_de_azufre,85,1,14.3565789473684211,11.5513774677561638
3,1,17,dioxido_de_azufre,85,1,14.3421052631578947,11.5160278513947680
3,1,18,dioxido_de_azufre,85,1,14.3328947368421053,11.5181270897000362
3,1,19,dioxido_de_azufre,85,1,14.2796052631578947,11.4168767285596540
3,1,20,dioxido_de_azufre,87,1,14.3236842105263158,11.6165062514824756
3,1,21,dioxido_de_azufre,90,1,14.3157894736842105,11.5506276330766173
3,1,22,dioxido_de_azufre,88,1,11.8114537444933921,10.5542042201552145
3,1,23,dioxido_de_azufre,84,1,11.7621145374449339,10.4366642300794496
3,2,0,dioxido_de_azufre,86,1,8.8876811594202899,7.9665024252743556
3,2,1,dioxido_de_azufre,88,1,8.9302536231884058,7.9694355804804887
3,2,2,dioxido_de_azufre,88,1,8.9900362318840580,7.9933613887160862
3,2,3,dioxido_de_azufre,88,1,9.0335144927536232,8.0339127059590451
3,2,4,dioxido_de_azufre,85,1,9.0923913043478261,8.0223269633304585
3,2,5,dioxido_de_azufre,82,1,9.1358695652173913,8.0399963219488725
3,2,6,dioxido_de_azufre,79,1,9.1828054298642534,8.0909164324344097
3,2,7,dioxido_de_azufre,78,1,12.6977917981072555,10.1236746941357816
3,2,8,dioxido_de_azufre,96,1,13.1716088328075710,11.4566960923270603
3,2,9,dioxido_de_azufre,89,1,13.4141414141414141,11.8880948541961359
3,2,10,dioxido_de_azufre,98,1,13.4684343434343434,12.0195256421696734
3,2,11,dioxido_de_azufre,103,1,13.5294855708908407,11.8668886905045033
3,2,12,dioxido_de_azufre,105,1,13.0635324015247776,11.0275516588203467
3,2,13,dioxido_de_azufre,105,1,12.8920454545454545,10.5106671974424676
3,2,14,dioxido_de_azufre,104,1,12.8674242424242424,10.5365878523242400
3,2,15,dioxido_de_azufre,102,1,12.8478535353535354,10.5079560358717309
3,2,16,dioxido_de_azufre,102,1,12.7784090909090909,10.3987225754333387
3,2,17,dioxido_de_azufre,102,1,12.7760252365930599,10.4713259557751322
3,2,18,dioxido_de_azufre,101,1,12.7899053627760252,10.5033976731547245
3,2,19,dioxido_de_azufre,100,1,12.7280757097791798,10.3549932031213161
3,2,20,dioxido_de_azufre,97,1,12.7388012618296530,10.3102706871802207
3,2,21,dioxido_de_azufre,99,1,12.7369085173501577,10.2733256043043303
3,2,22,dioxido_de_azufre,99,1,9.5067873303167421,8.8915669568636809
3,2,23,dioxido_de_azufre,99,1,9.4923076923076923,8.8991015166583201
3,3,0,dioxido_de_azufre,67,1,7.3613231552162850,6.3644329736667820
3,3,1,dioxido_de_azufre,70,1,7.4163851351351351,6.3961713326251805
3,3,2,dioxido_de_azufre,74,1,7.4451013513513514,6.4070459674177001
3,3,3,dioxido_de_azufre,78,1,7.4543918918918919,6.4259575801414201
3,3,4,dioxido_de_azufre,83,1,7.4771959459459459,6.4327842872275880
3,3,5,dioxido_de_azufre,88,1,7.4670608108108108,6.4264296949019721
3,3,6,dioxido_de_azufre,92,1,7.4864864864864865,6.4581220549453264
3,3,7,dioxido_de_azufre,97,1,11.0000000000000000,10.6015529440869754
3,3,8,dioxido_de_azufre,102,1,11.0820707070707071,10.7405317073675777
3,3,9,dioxido_de_azufre,95,1,11.1155303030303030,10.9341871433940056
3,3,10,dioxido_de_azufre,88,1,11.0606060606060606,10.6967084462674031
3,3,11,dioxido_de_azufre,98,1,11.0928030303030303,10.8586902866188684
3,3,12,dioxido_de_azufre,98,1,11.0094696969696970,10.6039021278809786
3,3,13,dioxido_de_azufre,64,1,10.9318611987381703,10.0729862077905283
3,3,14,dioxido_de_azufre,74,1,10.8902208201892744,10.0205249723459938
3,3,15,dioxido_de_azufre,65,1,10.8908517350157729,9.8601367286117163
3,3,16,dioxido_de_azufre,67,1,10.8744479495268139,9.8930523250809859
3,3,17,dioxido_de_azufre,65,1,10.8649842271293375,9.7749650153280561
3,3,18,dioxido_de_azufre,65,1,10.8044164037854890,9.6755239295526993
